No,Date,Price,Open,High,Low,Vol.,Change %
0,9/6/2017,"6,393.31","6,394.35","6,407.40","6,356.20",419.28M,0.28%
1,9/7/2017,"6,397.87","6,402.94","6,413.07","6,379.81",433.05M,0.07%
2,9/8/2017,"6,360.19","6,389.65","6,391.41","6,354.96",408.11M,-0.59%
3,9/11/2017,"6,432.26","6,411.18","6,439.11","6,410.71",431.57M,1.13%
4,9/12/2017,"6,454.28","6,448.81","6,455.02","6,429.54",404.69M,0.34%
5,9/13/2017,"6,460.19","6,440.72","6,460.42","6,433.20",447.20M,0.09%
6,9/14/2017,"6,429.08","6,439.46","6,455.32","6,424.04",430.37M,-0.48%
7,9/15/2017,"6,448.47","6,426.16","6,464.27","6,419.65",1.19B,0.30%
8,9/18/2017,"6,454.64","6,460.10","6,477.77","6,438.41",445.50M,0.10%
9,9/19/2017,"6,461.32","6,465.57","6,467.79","6,446.75",430.73M,0.10%
10,9/20/2017,"6,456.04","6,459.74","6,466.05","6,414.23",470.40M,-0.08%
11,9/21/2017,"6,422.69","6,448.57","6,448.57","6,405.30",400.64M,-0.52%
12,9/22/2017,"6,426.92","6,401.44","6,429.54","6,400.81",388.10M,0.07%
13,9/25/2017,"6,370.59","6,403.11","6,408.06","6,343.96",486.99M,-0.88%
14,9/26/2017,"6,380.16","6,391.85","6,405.01","6,364.57",439.70M,0.15%
15,9/27/2017,"6,453.26","6,414.37","6,472.65","6,405.35",470.98M,1.15%
16,9/28/2017,"6,453.45","6,437.96","6,456.23","6,427.66",428.05M,0.00%
17,9/29/2017,"6,495.96","6,461.28","6,497.98","6,454.86",492.43M,0.66%
18,10/2/2017,"6,516.72","6,506.08","6,527.22","6,484.14",448.11M,0.32%
19,10/3/2017,"6,531.71","6,523.74","6,532.18","6,509.71",438.92M,0.23%
20,10/4/2017,"6,534.63","6,521.96","6,546.46","6,513.12",434.61M,0.04%
21,10/5/2017,"6,585.36","6,552.87","6,587.21","6,547.65",422.21M,0.78%
22,10/6/2017,"6,590.18","6,566.95","6,590.18","6,566.84",410.59M,0.07%
23,10/9/2017,"6,579.73","6,597.37","6,599.34","6,572.44",359.14M,-0.16%
24,10/10/2017,"6,587.25","6,602.49","6,608.30","6,561.78",401.70M,0.11%
25,10/11/2017,"6,603.55","6,586.73","6,604.21","6,577.98",429.37M,0.25%
26,10/12/2017,"6,591.51","6,594.76","6,613.50","6,586.32",476.36M,-0.18%
27,10/13/2017,"6,605.80","6,613.21","6,616.58","6,602.20",417.54M,0.22%
28,10/16/2017,"6,624.01","6,622.55","6,632.50","6,607.03",373.94M,0.28%
29,10/17/2017,"6,623.66","6,621.42","6,628.60","6,613.21",375.09M,-0.01%
30,10/18/2017,"6,624.22","6,634.26","6,635.52","6,613.55",390.34M,0.01%
31,10/19/2017,"6,605.07","6,583.70","6,605.29","6,558.53",424.74M,-0.29%
32,10/20/2017,"6,629.05","6,633.37","6,640.02","6,622.92",457.36M,0.36%
33,10/23/2017,"6,586.83","6,641.57","6,641.57","6,581.15",417.65M,-0.64%
34,10/24/2017,"6,598.43","6,598.60","6,611.90","6,582.06",421.46M,0.18%
35,10/25/2017,"6,563.89","6,587.22","6,600.65","6,517.93",493.72M,-0.52%
